sample_id	hto	hash_id	cells_loaded	donor	processing_batch	experiment	chemistry	hto_panel	adt_panel
OCRZ020-C	HTO_04	3	4000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-A	HTO_01	Control	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-A	HTO_02	1	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-A	HTO_03	2	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-A	HTO_04	3	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-A	HTO_05	4	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-B	HTO_01	Control	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-B	HTO_02	1	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-B	HTO_03	2	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-B	HTO_04	3	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-B	HTO_05	4	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-C	HTO_01	Control	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-C	HTO_02	1	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-C	HTO_03	2	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-C	HTO_04	3	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ004-C	HTO_05	4	3000	OCRZ004	KA-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-A	HTO_01	1	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-A	HTO_02	2	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-A	HTO_03	3	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-A	HTO_04	4	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-B	HTO_01	1	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-B	HTO_02	2	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-B	HTO_03	3	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-B	HTO_04	4	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-C	HTO_01	1	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-C	HTO_02	2	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-C	HTO_03	3	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ003-C	HTO_04	4	4000	OCRZ003	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-D	HTO_01	1	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-D	HTO_02	2	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-D	HTO_03	3	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-D	HTO_04	4	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-D	HTO_05	5	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-E	HTO_01	1	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-E	HTO_02	2	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-E	HTO_03	3	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-E	HTO_04	4	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-E	HTO_05	5	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-F	HTO_01	1	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-F	HTO_02	2	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-F	HTO_03	3	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-F	HTO_04	4	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ031-F	HTO_05	5	3000	OCRZ031	BC-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-A	HTO_01	1	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-A	HTO_02	2	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-A	HTO_03	3	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-A	HTO_04	4	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-A	HTO_05	5	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-B	HTO_01	1	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-B	HTO_02	2	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-B	HTO_03	3	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-B	HTO_04	4	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-B	HTO_05	5	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-C	HTO_01	1	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-C	HTO_02	2	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-C	HTO_03	3	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-C	HTO_04	4	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ033-C	HTO_05	5	3000	OCRZ033	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-D	HTO_01	1	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-D	HTO_02	2	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-D	HTO_03	3	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-D	HTO_04	4	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-E	HTO_01	1	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-E	HTO_02	2	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-E	HTO_03	3	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-E	HTO_04	4	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-F	HTO_01	1	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-F	HTO_02	2	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-F	HTO_03	3	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ043-F	HTO_04	4	4000	OCRZ043	BC-002	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-A	HTO_01	1	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-A	HTO_02	2	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-A	HTO_03	3	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-A	HTO_04	4	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-B	HTO_01	1	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-B	HTO_02	2	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-B	HTO_03	3	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-B	HTO_04	4	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-C	HTO_01	1	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-C	HTO_02	2	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-C	HTO_03	3	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ045-C	HTO_04	4	4000	OCRZ045	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-D	HTO_01	1	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-D	HTO_02	2	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-D	HTO_03	3	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-D	HTO_04	4	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-E	HTO_01	1	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-E	HTO_02	2	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-E	HTO_03	3	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-E	HTO_04	4	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-F	HTO_01	1	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-F	HTO_02	2	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-F	HTO_03	3	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ050-F	HTO_04	4	4000	OCRZ050	BC-003	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
